group,name,WPM,T_u (ms),segs,words,σ_elem,σ_gap,r mean,r std,ω mean,ω std
exp4,20260312_it9etc iz8vkw_qrs_7030 khz,16.1,74.6,9/9,274,0.287,0.288,4.59,2.501,1.435,1.325
exp4,20260312_iu2udw iz8vkw_qrs_3557 khz,15.8,75.9,14/15,490,0.252,0.25,4.01,2.31,1.173,0.813
exp4,20260312_iu7qci iz8vkw_qrs_3557 khz,16.4,73.3,11/11,537,0.172,0.215,3.72,1.852,1.138,0.758
exp4,20260312_iw5dua iz8vkw_qrs_3557 khz,15.1,79.3,7/7,424,0.211,0.183,4.43,2.874,1.156,0.912
exp4,20260312_iz0rga iz8vkw_qrs_7030 khz,19.4,61.9,9/10,195,0.145,0.153,3.48,0.681,1.009,0.119
exp4,20260312_iz4dyx iz8vkw_qrs_3557 khz,19.4,61.8,16/20,204,0.205,0.232,3.2,0.519,1.05,0.238
qrqcw,QRQcw - CFOnet 12-20-2011,33.7,35.6,48/49,1816,0.125,0.156,3.17,0.496,1.047,0.25
qrqcw,QRQcw - CFOnet 2-28-2012,34.0,35.3,68/68,1940,0.299,0.275,3.44,1.309,1.137,0.517
qrqcw,QRQcw - CFOnet 3-1-2011,36.5,32.9,97/100,2139,0.125,0.171,3.17,0.572,1.031,0.25
qrqcw,QRQcw - CFOnet 3-29-2011,35.9,33.4,40/40,1669,0.188,0.184,3.28,1.082,1.097,0.441
qrqcw,QRQcw - CFOnet 4-24-2012,28.2,42.5,52/52,1436,0.301,0.379,3.25,1.225,1.125,0.575
qrqcw,QRQcw - CFOnet 8-23-2011,31.6,38.0,57/58,1401,0.242,0.334,3.29,1.241,1.114,0.464
qrqcw,QRQcw - CFOnet 8-30-2011,35.4,33.9,42/42,1915,0.206,0.177,3.36,0.764,1.104,0.429
qrqcw,QRQcw - CFOnet 9-6-2011,36.3,33.1,54/56,3069,0.29,0.26,3.45,1.247,1.136,0.496
