experiment,condition,sigma_frac,seed,accuracy
2,intact,0.575,42,0.7607692307692308
2,shuffled,0.575,42,0.3803846153846154
2,collapsed,0.575,42,0.3996153846153846
2,intact,0.575,43,0.7557692307692307
2,shuffled,0.575,43,0.38269230769230766
2,collapsed,0.575,43,0.3976923076923077
2,intact,0.575,44,0.7653846153846153
2,shuffled,0.575,44,0.38653846153846155
2,collapsed,0.575,44,0.39692307692307693
2,intact,0.575,45,0.77
2,shuffled,0.575,45,0.3823076923076923
2,collapsed,0.575,45,0.40923076923076923
2,intact,0.575,46,0.7634615384615384
2,shuffled,0.575,46,0.38961538461538464
2,collapsed,0.575,46,0.3976923076923077
2,intact,0.575,47,0.7661538461538462
2,shuffled,0.575,47,0.3776923076923077
2,collapsed,0.575,47,0.39884615384615385
2,intact,0.575,48,0.7596153846153846
2,shuffled,0.575,48,0.39076923076923076
2,collapsed,0.575,48,0.39576923076923076
2,intact,0.575,49,0.7588461538461538
2,shuffled,0.575,49,0.3811538461538462
2,collapsed,0.575,49,0.3946153846153846
2,intact,0.575,50,0.7707692307692308
2,shuffled,0.575,50,0.37846153846153846
2,collapsed,0.575,50,0.4015384615384615
2,intact,0.575,51,0.7626923076923077
2,shuffled,0.575,51,0.3780769230769231
2,collapsed,0.575,51,0.3903846153846154
3,intact,0.0,42,0.941923076923077
3,intact,0.2,42,0.9146153846153846
3,intact,0.4,42,0.855
3,intact,0.575,42,0.7665384615384615
3,intact,0.8,42,0.6419230769230769
3,intact,1.0,42,0.5734615384615385
3,intact,1.2,42,0.5123076923076924
3,intact,0.0,43,0.945
3,intact,0.2,43,0.9226923076923077
3,intact,0.4,43,0.8580769230769231
3,intact,0.575,43,0.7657692307692308
3,intact,0.8,43,0.6673076923076923
3,intact,1.0,43,0.5684615384615385
3,intact,1.2,43,0.5011538461538462
3,intact,0.0,44,0.9465384615384616
3,intact,0.2,44,0.9188461538461539
3,intact,0.4,44,0.8561538461538462
3,intact,0.575,44,0.7661538461538462
3,intact,0.8,44,0.6346153846153846
3,intact,1.0,44,0.585
3,intact,1.2,44,0.5092307692307693
3,intact,0.0,45,0.9473076923076923
3,intact,0.2,45,0.9230769230769231
3,intact,0.4,45,0.8588461538461538
3,intact,0.575,45,0.7611538461538462
3,intact,0.8,45,0.6446153846153846
3,intact,1.0,45,0.5673076923076923
3,intact,1.2,45,0.5092307692307693
3,intact,0.0,46,0.9496153846153846
3,intact,0.2,46,0.9261538461538461
3,intact,0.4,46,0.8488461538461538
3,intact,0.575,46,0.7626923076923077
3,intact,0.8,46,0.6526923076923077
3,intact,1.0,46,0.5838461538461538
3,intact,1.2,46,0.5180769230769231
3,intact,0.0,47,0.94
3,intact,0.2,47,0.9134615384615384
3,intact,0.4,47,0.8469230769230769
3,intact,0.575,47,0.76
3,intact,0.8,47,0.6580769230769231
3,intact,1.0,47,0.5738461538461539
3,intact,1.2,47,0.5153846153846153
3,intact,0.0,48,0.9496153846153846
3,intact,0.2,48,0.92
3,intact,0.4,48,0.8496153846153847
3,intact,0.575,48,0.7696153846153846
3,intact,0.8,48,0.6496153846153846
3,intact,1.0,48,0.5646153846153846
3,intact,1.2,48,0.49538461538461537
3,intact,0.0,49,0.94
3,intact,0.2,49,0.9165384615384615
3,intact,0.4,49,0.8519230769230769
3,intact,0.575,49,0.7730769230769231
3,intact,0.8,49,0.6561538461538462
3,intact,1.0,49,0.57
3,intact,1.2,49,0.5019230769230769
3,intact,0.0,50,0.95
3,intact,0.2,50,0.9215384615384615
3,intact,0.4,50,0.8515384615384616
3,intact,0.575,50,0.7534615384615385
3,intact,0.8,50,0.65
3,intact,1.0,50,0.578076923076923
3,intact,1.2,50,0.5080769230769231
3,intact,0.0,51,0.9442307692307692
3,intact,0.2,51,0.9188461538461539
3,intact,0.4,51,0.8534615384615385
3,intact,0.575,51,0.7542307692307693
3,intact,0.8,51,0.6526923076923077
3,intact,1.0,51,0.561923076923077
3,intact,1.2,51,0.5338461538461539
3_ablation,intact,0.0,42,1.0
3_ablation,intact,0.2,42,1.0
3_ablation,intact,0.4,42,0.9753846153846154
3_ablation,intact,0.575,42,0.8680769230769231
3_ablation,intact,0.8,42,0.7115384615384616
3_ablation,intact,1.0,42,0.5907692307692308
3_ablation,intact,1.2,42,0.49538461538461537
3_ablation,intact,0.0,43,1.0
3_ablation,intact,0.2,43,1.0
3_ablation,intact,0.4,43,0.9780769230769231
3_ablation,intact,0.575,43,0.8773076923076923
3_ablation,intact,0.8,43,0.6838461538461539
3_ablation,intact,1.0,43,0.59
3_ablation,intact,1.2,43,0.5096153846153846
3_ablation,intact,0.0,44,1.0
3_ablation,intact,0.2,44,1.0
3_ablation,intact,0.4,44,0.98
3_ablation,intact,0.575,44,0.8653846153846154
3_ablation,intact,0.8,44,0.7069230769230769
3_ablation,intact,1.0,44,0.6057692307692307
3_ablation,intact,1.2,44,0.5019230769230769
3_ablation,intact,0.0,45,1.0
3_ablation,intact,0.2,45,1.0
3_ablation,intact,0.4,45,0.9776923076923076
3_ablation,intact,0.575,45,0.8723076923076923
3_ablation,intact,0.8,45,0.6938461538461539
3_ablation,intact,1.0,45,0.568076923076923
3_ablation,intact,1.2,45,0.49884615384615383
3_ablation,intact,0.0,46,1.0
3_ablation,intact,0.2,46,1.0
3_ablation,intact,0.4,46,0.9753846153846154
3_ablation,intact,0.575,46,0.8753846153846154
3_ablation,intact,0.8,46,0.7057692307692308
3_ablation,intact,1.0,46,0.5665384615384615
3_ablation,intact,1.2,46,0.5007692307692307
3_ablation,intact,0.0,47,1.0
3_ablation,intact,0.2,47,1.0
3_ablation,intact,0.4,47,0.9784615384615385
3_ablation,intact,0.575,47,0.8626923076923076
3_ablation,intact,0.8,47,0.6988461538461539
3_ablation,intact,1.0,47,0.5776923076923077
3_ablation,intact,1.2,47,0.49538461538461537
3_ablation,intact,0.0,48,1.0
3_ablation,intact,0.2,48,1.0
3_ablation,intact,0.4,48,0.9823076923076923
3_ablation,intact,0.575,48,0.8730769230769231
3_ablation,intact,0.8,48,0.7103846153846154
3_ablation,intact,1.0,48,0.5992307692307692
3_ablation,intact,1.2,48,0.49346153846153845
3_ablation,intact,0.0,49,1.0
3_ablation,intact,0.2,49,1.0
3_ablation,intact,0.4,49,0.9769230769230769
3_ablation,intact,0.575,49,0.8719230769230769
3_ablation,intact,0.8,49,0.7042307692307692
3_ablation,intact,1.0,49,0.566923076923077
3_ablation,intact,1.2,49,0.4946153846153846
3_ablation,intact,0.0,50,1.0
3_ablation,intact,0.2,50,1.0
3_ablation,intact,0.4,50,0.9746153846153847
3_ablation,intact,0.575,50,0.8723076923076923
3_ablation,intact,0.8,50,0.6807692307692308
3_ablation,intact,1.0,50,0.578076923076923
3_ablation,intact,1.2,50,0.4938461538461538
3_ablation,intact,0.0,51,1.0
3_ablation,intact,0.2,51,1.0
3_ablation,intact,0.4,51,0.9730769230769231
3_ablation,intact,0.575,51,0.8646153846153846
3_ablation,intact,0.8,51,0.7011538461538461
3_ablation,intact,1.0,51,0.5623076923076923
3_ablation,intact,1.2,51,0.5065384615384615
